0723ug6nP3k-00102 |,extraordinary valor of our men and our,| extraordinary valor of our men and our
0723ug6nP3k-00103 |,women in uniform you know that and we,| women in uniform you know that and we
0723ug6nP3k-00104 |,pay a special tribute and i know you pay,| pay a special tribute and i know you pay
0723ug6nP3k-00105 |,it a special tribute to our great,| it a special tribute to our great
0723ug6nP3k-00106 |,wounded warriors and those who made the,| wounded warriors and those who made the
0723ug6nP3k-00107 |,ultimate sacrifice,| ultimate sacrifice
0723ug6nP3k-00108 |,and as we bring back our troops we are,| and as we bring back our troops we are
0723ug6nP3k-00109 |,committed to ensuring that foreign,| committed to ensuring that foreign
0723ug6nP3k-00110 |,terrorists are denied admission to,| terrorists are denied admission to
0723ug6nP3k-00111 |,america in the first place they're not,| america in the first place they're not
0723ug6nP3k-00112 |,coming here and if they do bad things,| coming here and if they do bad things
0723ug6nP3k-00113 |,happen to them we must keep radical,| happen to them we must keep radical
0723ug6nP3k-00114 |,islamic terrorists the hell out of our,| islamic terrorists the hell out of our
0723ug6nP3k-00115 |,country,| country
0723ug6nP3k-00116 |,[applause],| [applause]
0723ug6nP3k-00117 |,[applause],| [applause]
0723ug6nP3k-00118 |,by the way i have to say this you know,| by the way i have to say this you know
0723ug6nP3k-00119 |,you have thousands and thousands of,| you have thousands and thousands of
0723ug6nP3k-00120 |,people outside somebody was saying that,| people outside somebody was saying that
0723ug6nP3k-00121 |,if pocahontas any one of them sleepy joe,| if pocahontas any one of them sleepy joe
0723ug6nP3k-00122 |,he doesn't have that so it gives it that,| he doesn't have that so it gives it that
0723ug6nP3k-00123 |,lock,| lock
0723ug6nP3k-00124 |,his very small crowds but if sleepy joe,| his very small crowds but if sleepy joe
0723ug6nP3k-00125 |,or if any of them had a crowd one-tenth,| or if any of them had a crowd one-tenth
0723ug6nP3k-00126 |,the size they go around talking about,| the size they go around talking about
0723ug6nP3k-00127 |,how big the crowd they never say that,| how big the crowd they never say that
0723ug6nP3k-00128 |,hey take your cameras and spin them,| hey take your cameras and spin them
0723ug6nP3k-00129 |,around this big arena,| around this big arena
0723ug6nP3k-00130 |,[applause],| [applause]
0723ug6nP3k-00131 |,an attorney they don't tell you know to,| an attorney they don't tell you know to
0723ug6nP3k-00132 |,say don't turn but if there were some,| say don't turn but if there were some
0723ug6nP3k-00133 |,kind of trouble in a little corner,| kind of trouble in a little corner
0723ug6nP3k-00134 |,anything to make us look bad,| anything to make us look bad
0723ug6nP3k-00135 |,that camera would turn like a pretzel i,| that camera would turn like a pretzel i
0723ug6nP3k-00136 |,used to think you know modern equipment,| used to think you know modern equipment
0723ug6nP3k-00137 |,it can't turn but would have a protest,| it can't turn but would have a protest
0723ug6nP3k-00138 |,sir it i must say i'll say it out loud,| sir it i must say i'll say it out loud
0723ug6nP3k-00139 |,we don't have too many protesters,| we don't have too many protesters
0723ug6nP3k-00140 |,anymore doing,| anymore doing
0723ug6nP3k-00141 |,no fun to be a protester at a trump,| no fun to be a protester at a trump
0723ug6nP3k-00142 |,rally but do we have a great time at a,| rally but do we have a great time at a
0723ug6nP3k-00143 |,trump rally,| trump rally
0723ug6nP3k-00144 |,my administration has also taken the,| my administration has also taken the
0723ug6nP3k-00145 |,most aggressive action in modern history,| most aggressive action in modern history
0723ug6nP3k-00146 |,to protect americans from the corona,| to protect americans from the corona
0723ug6nP3k-00147 |,virus you know about this whole thing,| virus you know about this whole thing
0723ug6nP3k-00148 |,horrible,| horrible
0723ug6nP3k-00149 |,including sweeping travel restrictions,| including sweeping travel restrictions
0723ug6nP3k-00150 |,today we met with the big great,| today we met with the big great
0723ug6nP3k-00151 |,pharmaceutical companies and they're,| pharmaceutical companies and they're
0723ug6nP3k-00152 |,really working hard and they're working,| really working hard and they're working
0723ug6nP3k-00153 |,smart and we had some we had a great,| smart and we had some we had a great
0723ug6nP3k-00154 |,meeting today with a lot of the great,| meeting today with a lot of the great
0723ug6nP3k-00155 |,companies and they can have vaccines i,| companies and they can have vaccines i
0723ug6nP3k-00156 |,think relatively soon and they're going,| think relatively soon and they're going
0723ug6nP3k-00157 |,to have something that makes you better,| to have something that makes you better
0723ug6nP3k-00158 |,and that's going to actually take place,| and that's going to actually take place
0723ug6nP3k-00159 |,we think even sooner so it's a lot of,| we think even sooner so it's a lot of
0723ug6nP3k-00160 |,good things are happening but we have,| good things are happening but we have
0723ug6nP3k-00161 |,strong borders and really are tough and,| strong borders and really are tough and
0723ug6nP3k-00162 |,early actions have really been proven to,| early actions have really been proven to
0723ug6nP3k-00163 |,be a hundred percent right,| be a hundred percent right
0723ug6nP3k-00164 |,we went out we're doing everything in,| we went out we're doing everything in
0723ug6nP3k-00165 |,our power to keep the sick and infected,| our power to keep the sick and infected
0723ug6nP3k-00166 |,people from coming into our country,| people from coming into our country
0723ug6nP3k-00167 |,we're working on that very hard,| we're working on that very hard
0723ug6nP3k-00168 |,we close our borders very early i took a,| we close our borders very early i took a
0723ug6nP3k-00169 |,lot of heat for that remember when i,| lot of heat for that remember when i
0723ug6nP3k-00170 |,closed the borders to certain areas of,| closed the borders to certain areas of
0723ug6nP3k-00171 |,the world that took a lot of heat but,| the world that took a lot of heat but
0723ug6nP3k-00172 |,there are fringe low ballasts who would,| there are fringe low ballasts who would
0723ug6nP3k-00173 |,rather keep our borders open that keep,| rather keep our borders open that keep
0723ug6nP3k-00174 |,our infection and think of it keep all,| our infection and think of it keep all
0723ug6nP3k-00175 |,of the infection let it come in and,| of the infection let it come in and
0723ug6nP3k-00176 |,we're working with other countries in,| we're working with other countries in
0723ug6nP3k-00177 |,all fairness look it's a problem we're,| all fairness look it's a problem we're
0723ug6nP3k-00178 |,working with other countries,| working with other countries
0723ug6nP3k-00179 |,remember this over the last long period,| remember this over the last long period
0723ug6nP3k-00180 |,of time the flu the common flu you know,| of time the flu the common flu you know
0723ug6nP3k-00181 |,"this right from 27,000 to 70,000 people","| this right from 27,000 to 70,000 people"
0723ug6nP3k-00182 |,get infected and many people die think,| get infected and many people die think
0723ug6nP3k-00183 |,"of it 27,000 you lose 27,000 people to","| of it 27,000 you lose 27,000 people to"
0723ug6nP3k-00184 |,the common flu it can be much more one,| the common flu it can be much more one
0723ug6nP3k-00185 |,"year was much higher than the 70,000","| year was much higher than the 70,000"
0723ug6nP3k-00186 |,number those people died so when you,| number those people died so when you
0723ug6nP3k-00187 |,"lose 27,000 people a year nobody knew","| lose 27,000 people a year nobody knew"
0723ug6nP3k-00188 |,that i didn't know that three four weeks,| that i didn't know that three four weeks
0723ug6nP3k-00189 |,ago i was sitting down i said what do we,| ago i was sitting down i said what do we
0723ug6nP3k-00190 |,lose with a regular flu they said about,| lose with a regular flu they said about
0723ug6nP3k-00191 |,"27,000 minimum goes up to 70 sometimes","| 27,000 minimum goes up to 70 sometimes"
0723ug6nP3k-00192 |,even eighty one year went up to a,| even eighty one year went up to a
0723ug6nP3k-00193 |,hundred thousand people i said nobody,| hundred thousand people i said nobody
0723ug6nP3k-00194 |,told me that nobody knows that,| told me that nobody knows that
0723ug6nP3k-00195 |,so i actually told the pharmaceutical,| so i actually told the pharmaceutical
0723ug6nP3k-00196 |,companies you have to do a little bit,| companies you have to do a little bit
0723ug6nP3k-00197 |,better job when that vaccine really you,| better job when that vaccine really you
0723ug6nP3k-00198 |,have to do a better job on that fast,| have to do a better job on that fast
0723ug6nP3k-00199 |,thank you palacio is approximately,| thank you palacio is approximately
0723ug6nP3k-00200 |,"36,000 people died so we're working hard","| 36,000 people died so we're working hard"
0723ug6nP3k-00201 |,on it and we're going to come up with,| on it and we're going to come up with
0723ug6nP3k-00202 |,some really great solutions in the,| some really great solutions in the
0723ug6nP3k-00203 |,meantime we're stopping with only in,| meantime we're stopping with only in
0723ug6nP3k-00204 |,north carolina,| north carolina
0723ug6nP3k-00205 |,only enough data that can only be how,| only enough data that can only be how
0723ug6nP3k-00206 |,many people here from south carolina,| many people here from south carolina
0723ug6nP3k-00207 |,bother,| bother
0723ug6nP3k-00208 |,we'll have both places but that was from,| we'll have both places but that was from
0723ug6nP3k-00209 |,north carolina,| north carolina
0723ug6nP3k-00210 |,but just to finish up so we made a lot,| but just to finish up so we made a lot
0723ug6nP3k-00211 |,of progress we've really done a great,| of progress we've really done a great
0723ug6nP3k-00212 |,job where that we're keeping our borders,| job where that we're keeping our borders
0723ug6nP3k-00213 |,strong my job is to protect the health,| strong my job is to protect the health
0723ug6nP3k-00214 |,of american patients and americans first,| of american patients and americans first
0723ug6nP3k-00215 |,and that's what we're going,| and that's what we're going
0723ug6nP3k-00216 |,washington democrats are trying to,| washington democrats are trying to
0723ug6nP3k-00217 |,politicize the coronavirus denigrating,| politicize the coronavirus denigrating
0723ug6nP3k-00218 |,the noble work of our public health,| the noble work of our public health
0723ug6nP3k-00219 |,professionals but honestly not so much,| professionals but honestly not so much
0723ug6nP3k-00220 |,anymore everyone appreciates these are,| anymore everyone appreciates these are
0723ug6nP3k-00221 |,the greatest professionals in the world,| the greatest professionals in the world
0723ug6nP3k-00222 |,at what they do we're actually helping a,| at what they do we're actually helping a
0723ug6nP3k-00223 |,lot of other countries where they have,| lot of other countries where they have
0723ug6nP3k-00224 |,some very very big problems so we have,| some very very big problems so we have
0723ug6nP3k-00225 |,our professionals in constant touch i'm,| our professionals in constant touch i'm
0723ug6nP3k-00226 |,in constant touch with some of the,| in constant touch with some of the
0723ug6nP3k-00227 |,leaders and helping them out but the,| leaders and helping them out but the
0723ug6nP3k-00228 |,political attacks from some of the,| political attacks from some of the
0723ug6nP3k-00229 |,democrats really must stop we've got to,| democrats really must stop we've got to
0723ug6nP3k-00230 |,all work together on this one,| all work together on this one
0723ug6nP3k-00231 |,to safeguard our people we're going to,| to safeguard our people we're going to
0723ug6nP3k-00232 |,safeguard our people the united states,| safeguard our people the united states
0723ug6nP3k-00233 |,the united states is right now ranked by,| the united states is right now ranked by
0723ug6nP3k-00234 |,far number one in the world for,| far number one in the world for
0723ug6nP3k-00235 |,preparedness earlier today when i met,| preparedness earlier today when i met
0723ug6nP3k-00236 |,with the pharmaceutical companies things,| with the pharmaceutical companies things
0723ug6nP3k-00237 |,were discussed and learned honestly the,| were discussed and learned honestly the
0723ug6nP3k-00238 |,media didn't know nobody knew they've,| media didn't know nobody knew they've
0723ug6nP3k-00239 |,never heard this before and we learned a,| never heard this before and we learned a
0723ug6nP3k-00240 |,lot and maybe that had the impact on the,| lot and maybe that had the impact on the
0723ug6nP3k-00241 |,stock market who knows what happened but,| stock market who knows what happened but
0723ug6nP3k-00242 |,we're going to reduce the severity of,| we're going to reduce the severity of
0723ug6nP3k-00243 |,what's happening the duration of the,| what's happening the duration of the
0723ug6nP3k-00244 |,virus we discussed all of these things,| virus we discussed all of these things
0723ug6nP3k-00245 |,we will bring these therapies to market,| we will bring these therapies to market
0723ug6nP3k-00246 |,as rapidly as possible and i have to say,| as rapidly as possible and i have to say
0723ug6nP3k-00247 |,with a thriving economy the way it is,| with a thriving economy the way it is
0723ug6nP3k-00248 |,and the most advanced health system,| and the most advanced health system
0723ug6nP3k-00249 |,under america is so resilient we know,| under america is so resilient we know
0723ug6nP3k-00250 |,what we're doing we have the greatest,| what we're doing we have the greatest
0723ug6nP3k-00251 |,people on earth the greatest health,| people on earth the greatest health
0723ug6nP3k-00252 |,system honor,| system honor
0723ug6nP3k-00253 |,we have the greatest health system on,| we have the greatest health system on
0723ug6nP3k-00254 |,earth the renewal of american strength,| earth the renewal of american strength
0723ug6nP3k-00255 |,over the last three years means at times,| over the last three years means at times
0723ug6nP3k-00256 |,of challenge we are the best prepared to,| of challenge we are the best prepared to
0723ug6nP3k-00257 |,rise to any occasion no country is,| rise to any occasion no country is
0723ug6nP3k-00258 |,better equipped than america to handle,| better equipped than america to handle
0723ug6nP3k-00259 |,new threats and no people are more,| new threats and no people are more
0723ug6nP3k-00260 |,skilled talented tough or driven than,| skilled talented tough or driven than
0723ug6nP3k-00261 |,americans,| americans
0723ug6nP3k-00262 |,[music],| [music]
0723ug6nP3k-00263 |,and together we are in the midst of the,| and together we are in the midst of the
0723ug6nP3k-00264 |,great american comeback that's what it,| great american comeback that's what it
0723ug6nP3k-00265 |,is,| is
0723ug6nP3k-00266 |,last month we added 225 thousand new,| last month we added 225 thousand new
0723ug6nP3k-00267 |,jobs in january alone that makes seven,| jobs in january alone that makes seven
0723ug6nP3k-00268 |,million jobs since the election,| million jobs since the election
0723ug6nP3k-00269 |,we have destroyed the isis territorial,| we have destroyed the isis territorial
0723ug6nP3k-00270 |,caliphate and we killed the founder and,| caliphate and we killed the founder and
0723ug6nP3k-00271 |,leader of isis al-baghdadi he is dead,| leader of isis al-baghdadi he is dead
0723ug6nP3k-00272 |,and we took out the world's top tears,| and we took out the world's top tears
0723ug6nP3k-00273 |,kiss em so limini,| kiss em so limini
0723ug6nP3k-00274 |,ending his evil reign of terror forever,| ending his evil reign of terror forever
0723ug6nP3k-00275 |,solemn a knee,| solemn a knee
0723ug6nP3k-00276 |,while the extreme left has been wasting,| while the extreme left has been wasting
0723ug6nP3k-00277 |,america's time with vile hoaxes and,| america's time with vile hoaxes and
0723ug6nP3k-00278 |,delusional witch hunts we have been,| delusional witch hunts we have been
0723ug6nP3k-00279 |,killing terrorists creating jobs raising,| killing terrorists creating jobs raising
0723ug6nP3k-00280 |,wages and lifting up american citizens,| wages and lifting up american citizens
0723ug6nP3k-00281 |,of every race religion color and creed,| of every race religion color and creed
0723ug6nP3k-00282 |,tomorrow voters and states across the,| tomorrow voters and states across the
0723ug6nP3k-00283 |,nation will head to the polls for super,| nation will head to the polls for super
0723ug6nP3k-00284 |,tuesday not super thursday oh he said,| tuesday not super thursday oh he said
0723ug6nP3k-00285 |,super thursday you can't do these things,| super thursday you can't do these things
0723ug6nP3k-00286 |,can you imagine if i said super thursday,| can you imagine if i said super thursday
0723ug6nP3k-00287 |,it would be over right,| it would be over right
0723ug6nP3k-00288 |,it would be over no matter how good you,| it would be over no matter how good you
0723ug6nP3k-00289 |,are certain things you can't,| are certain things you can't
0723ug6nP3k-00290 |,as an example name like sleepy joe he's,| as an example name like sleepy joe he's
0723ug6nP3k-00291 |,constantly naming the wrong state it's,| constantly naming the wrong state it's
0723ug6nP3k-00292 |,great to be in the state of ohio no no,| great to be in the state of ohio no no
0723ug6nP3k-00293 |,no i'm sorry you're in north carolina no,| no i'm sorry you're in north carolina no
0723ug6nP3k-00294 |,no joe do you ever see him run up with a,| no joe do you ever see him run up with a
0723ug6nP3k-00295 |,sign no no north carolina joe once that,| sign no no north carolina joe once that
0723ug6nP3k-00296 |,happens you might as well leave the,| happens you might as well leave the
0723ug6nP3k-00297 |,stage because it's a disaster no matter,| stage because it's a disaster no matter
0723ug6nP3k-00298 |,how good we're in north carolina it's,| how good we're in north carolina it's
0723ug6nP3k-00299 |,great to be in idaho no you're in iowa,| great to be in idaho no you're in iowa
0723ug6nP3k-00300 |,now he makes a lot of those mistakes,| now he makes a lot of those mistakes
0723ug6nP3k-00301 |,they're a little scary,| they're a little scary
0723ug6nP3k-00302 |,did you see guns you know we're gonna,| did you see guns you know we're gonna
0723ug6nP3k-00303 |,protect your second amendment you,| protect your second amendment you
0723ug6nP3k-00304 |,understand,| understand
0723ug6nP3k-00305 |,what did you see sleepy joe did you see,| what did you see sleepy joe did you see
0723ug6nP3k-00306 |,sleepy joe where he said last year 150,| sleepy joe where he said last year 150
0723ug6nP3k-00307 |,million people were killed by god's in,| million people were killed by god's in
0723ug6nP3k-00308 |,our country 150 million that means 50%,| our country 150 million that means 50%
0723ug6nP3k-00309 |,of our country that's a big story now a,| of our country that's a big story now a
0723ug6nP3k-00310 |,hundred and fifty could you imagine,| hundred and fifty could you imagine
0723ug6nP3k-00311 |,trump saying that these people would,| trump saying that these people would
0723ug6nP3k-00312 |,never let me live it down we can't make,| never let me live it down we can't make
0723ug6nP3k-00313 |,we can't may give it a little mistake,| we can't may give it a little mistake
0723ug6nP3k-00314 |,right we can't make even a little tiny,| right we can't make even a little tiny
0723ug6nP3k-00315 |,tiny mistake if we make a tiny mistake,| tiny mistake if we make a tiny mistake
0723ug6nP3k-00316 |,as headliners they say things like a,| as headliners they say things like a
0723ug6nP3k-00317 |,hundred and fifty million people killed,| hundred and fifty million people killed
0723ug6nP3k-00318 |,guns they say super thursday,| guns they say super thursday
0723ug6nP3k-00319 |,they say georgia he's looking forward to,| they say georgia he's looking forward to
0723ug6nP3k-00320 |,winning georgia tomorrow georgia is not,| winning georgia tomorrow georgia is not
0723ug6nP3k-00321 |,in super tuesday so many mistakes you,| in super tuesday so many mistakes you
0723ug6nP3k-00322 |,can't do that when you're negotiating,| can't do that when you're negotiating
0723ug6nP3k-00323 |,with china you can't do that when you,| with china you can't do that when you
0723ug6nP3k-00324 |,negotiate it with these countries can't,| negotiate it with these countries can't
0723ug6nP3k-00325 |,do those mistakes would be very,| do those mistakes would be very
0723ug6nP3k-00326 |,expensive and then you have mini mike,| expensive and then you have mini mike
0723ug6nP3k-00327 |,you see this guy can you believe it,| you see this guy can you believe it
0723ug6nP3k-00328 |,mini mike he's being interviewed tonight,| mini mike he's being interviewed tonight
0723ug6nP3k-00329 |,on fox can you believe it,| on fox can you believe it
0723ug6nP3k-00330 |,fox they want to you know be politically,| fox they want to you know be politically
0723ug6nP3k-00331 |,correct they want to interview they end,| correct they want to interview they end
0723ug6nP3k-00332 |,up interviewing more democrats in,| up interviewing more democrats in
0723ug6nP3k-00333 |,republics but they're interviewing this,| republics but they're interviewing this
0723ug6nP3k-00334 |,guy the night before many mike hey what,| guy the night before many mike hey what
0723ug6nP3k-00335 |,a mess he is the worst debate,| a mess he is the worst debate
0723ug6nP3k-00336 |,performance in the history of,| performance in the history of
0723ug6nP3k-00337 |,presidential debates do we ignore the,| presidential debates do we ignore the
0723ug6nP3k-00338 |,worst in the history nah you gotta have,| worst in the history nah you gotta have
0723ug6nP3k-00339 |,more and i'd get down real low but i,| more and i'd get down real low but i
0723ug6nP3k-00340 |,don't want to copy it everybody saw that,| don't want to copy it everybody saw that
0723ug6nP3k-00341 |,everyone's at all you know they all said,| everyone's at all you know they all said
0723ug6nP3k-00342 |,oh do that again will you get down low,| oh do that again will you get down low
0723ug6nP3k-00343 |,but you know if i do that again it's a,| but you know if i do that again it's a
0723ug6nP3k-00344 |,copy it's a copy,| copy it's a copy
0723ug6nP3k-00345 |,no,| no
0723ug6nP3k-00346 |,no you never like to copy even though,| no you never like to copy even though
0723ug6nP3k-00347 |,you're copying yourself you don't like,| you're copying yourself you don't like
0723ug6nP3k-00348 |,to copy you know you do it once i was a,| to copy you know you do it once i was a
0723ug6nP3k-00349 |,big hit but you do it once and you sort,| big hit but you do it once and you sort
0723ug6nP3k-00350 |,of say that was nice,| of say that was nice
0723ug6nP3k-00351 |,don't do it again because if it doesn't,| don't do it again because if it doesn't
0723ug6nP3k-00352 |,work the second time it gets,| work the second time it gets
0723ug6nP3k-00353 |,embarrassing right you know right we all,| embarrassing right you know right we all
0723ug6nP3k-00354 |,know but now he's a he's a disaster,| know but now he's a he's a disaster
0723ug6nP3k-00355 |,waiting to happen he's a mess no matter,| waiting to happen he's a mess no matter
0723ug6nP3k-00356 |,which democrat candidate you're talking,| which democrat candidate you're talking
0723ug6nP3k-00357 |,about and you understand that any one of,| about and you understand that any one of
0723ug6nP3k-00358 |,these candidates and you see what's,| these candidates and you see what's
0723ug6nP3k-00359 |,happening right there all now it's being,| happening right there all now it's being
0723ug6nP3k-00360 |,rigged against it said it's being rigged,| rigged against it said it's being rigged
0723ug6nP3k-00361 |,against crazy burning crazy birdies,| against crazy burning crazy birdies
0723ug6nP3k-00362 |,gonna go crazy crazy i think crazy,| gonna go crazy crazy i think crazy
0723ug6nP3k-00363 |,bernie's going to be more crazy when,| bernie's going to be more crazy when
0723ug6nP3k-00364 |,they see what they're doing i called it,| they see what they're doing i called it
0723ug6nP3k-00365 |,a long time ago so mayor pete boot agh,| a long time ago so mayor pete boot agh
0723ug6nP3k-00366 |,who dead yet,| who dead yet
0723ug6nP3k-00367 |,mayor pete he quit out last night and,| mayor pete he quit out last night and
0723ug6nP3k-00368 |,that i hear,| that i hear
0723ug6nP3k-00369 |,then i hear a senator from his state and,| then i hear a senator from his state and
0723ug6nP3k-00370 |,we're gonna win we're gonna win that,| we're gonna win we're gonna win that
0723ug6nP3k-00371 |,state but she dropped out,| state but she dropped out
0723ug6nP3k-00372 |,sounds like they made a deal you know,| sounds like they made a deal you know
